ide;Codigo;Resumen;Ascendente;Familia;Cantidad;Unidad;Data_Deteccio;Data_Alta;Data_Baixa;PK_inicial__km_m;PK_final__km_m;Utmx;Utmy;Element_referencia_Text;Calzada;Longitud_A__m;Parets_laterals_A__m2;Volta_A__m2;Revestiment_funcional_en_parets_laterals__A__m2;Lamina_impermeabilitzant_en_volta__A__m2;Galib_A;Longitud_B__m;Parets_laterals_B__m2;Volta_B__m2;Revestiment_funcional_en_parets_laterals_B__m2;Lamina_impermeabilitzant_en_volta_B__m2;Galib_B;Longitud__m;Parets_laterals__m2;volta__m2;Tipus_Separacio;Revestiment_funcional_en_parets_laterals__m2;Lamina_impermeabilitzant_en_volta__m2;Galib__m;Centre_de_control_del_funcionament_de_les_installacions;Enllumenat;Ventilacio;Seguretat,_regulacio_i_control_de_transit;TV_en_circuit_tancat;N__dextintors;Pals_dauxili;Installacio_semaforica;Senyals_de_missatge_variable;Control_de_galib
1046;B20_TCLL;Túnel COLLSEROLA;B20;EST-TUN;0;0;20081201;20081201;0;9+401;9+561;427.843.713;4585238.53;;LLOBREGAT-BESÒS;161.8;1998.34;1844.98;0;0;6.15;168;1906.8;1932;0;0;5.35;164.9;3905.14;3776.98;Pilars - Pilares sobre murete;;;5.35;Si;Si;Si;Si;Si;;Si;Si;Si;No
1047;B20_TIJ;Túnel IJ;B20-I_08IJ;EST-TUN;0;0;20050930;20050930;0;;0+026;426.271.664;4.584.020.162;;BESÒS;223.8;2483.7;1448.11;0;0;4.72;0;0;0;0;0;0;223.8;2483.7;1448.11;Cap - Ninguna;;;7.42;Si;Si;Si;No;No;;Si;No;No;No
1048;B20_TLC;Túnel LLOSA CERVANTES;B20;EST-TUN;0;0;20081201;20081201;0;4+945;5+043;425.131.343;4.581.919.177;;LLOBREGAT-BESÒS;94.3;998.64;1084.45;0;0;4.99;94.5;993.14;1084.39;0;0;5;94.4;1991.78;2168.84;Pilars - Pilares sobre murete;;;4.99;Si;Si;No;No;No;;No;No;No;No
1049;NT_TMQ;Túnel MAQUINISTA;NT-TrMAQ;EST-TUN;0;0;20081201;20081201;0;1+071;1+340;433.013.831;4588753.66;;LLOBREGAT-BESÒS;0;0;0;0;0;0;0;0;0;0;0;0;250.8;2513.02;2725.57;;;;5.01;Si;Si;Si;No;No;;Si;No;No;No
1050;B20_TMC;Túnel MUSEU DE LA CIENCIA;B20;EST-TUN;0;0;20081201;20081201;0;8+849;9+041;427.376.447;4.585.064.541;;LLOBREGAT-BESÒS;196.2;1903.86;2262.77;0;0;4.79;189.4;1833.4;2180.94;0;0;4.77;192.8;3737.26;4443.71;Pilars - Pilares sobre murete;;;4.77;Si;Si;No;Si;Si;;Si;Si;Si;No
1051;B10_TMF;Túnel MOLL DE LA FUSTA;B10;EST-TUN;0;0;20081201;20081201;0;10+302;10+922;431480.43;4.581.119.599;;LLOBREGAT-BESÒS;509;5276;6852;0;0;4.63;0;0;0;0;0;0;509;5276;6852;Mur - Muro;;;4.63;Si;Si;No;Si;No;;No;No;No;No
1052;B10_TMO;Túnels MORROT;B10;EST-TUN;0;0;20120703;20120703;0;;;430874.28;4.580.101.299;;LLOBREGAT-BESÒS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;No;No;No;No;No;;No;No;No;No
1053;NT_TNT;Túnel NUS TRINITAT;NT-C58/B10/PN/B20;EST-TUN;0;0;20030807;20030807;0;0+044;0+179;432.647.624;4.588.947.634;;LLOBREGAT;0;0;0;0;0;0;0;0;0;0;0;0;153.75;1690.59;3209.81;;;;5.81;Si;Si;No;No;No;;No;No;No;No
1054;B20_TOR;Túnel ORENETA;B20;EST-TUN;0;0;20081201;20081201;0;6+025;6+777;425.775.426;4.583.211.823;;LLOBREGAT-BESÒS;784.7;8899.98;8962.27;0;0;5.68;787.6;8942.56;10233.53;0;0;5.63;786.15;17842.54;10195.8;Pilars - Pilares sobre murete;;;5.63;Si;Si;Si;Si;Si;;Si;Si;Si;No
1055;B20_TPAL;Túnel PALAMÓS;B20;EST-TUN;0;0;20000905;20000905;0;15+036;15+339;431.824.234;4.588.659.988;;LLOBREGAT-BESÒS;305.7;3203.78;3747.77;0;0;5.21;304.1;3193.7;3644;0;0;5.12;304.9;6397.48;7391.77;Pilars - Pilares sobre murete;;;5.12;Si;Si;Si;Si;Si;;Si;Si;No;No
1056;B10_TPN;Túnel POBLE NOU;B10;EST-TUN;0;0;20081201;20081201;0;7+073;7+612;433.784.721;4.583.135.451;;LLOBREGAT-BESÒS;510.95;4853.3;6024;0;0;4.74;506.5;4810.86;5548.81;0;0;4.72;508.73;9664.16;11572.81;Mur - Muro;;;4.74;Si;Si;Si;Si;Si;;Si;Si;Si;No
1057;B10_TPP;Túnel PLA DE PALAU;B10;EST-TUN;0;0;20081201;20081201;0;9+807;10+293;431.810.794;4.581.430.719;;LLOBREGAT-BESÒS;470.5;4477.76;5012.13;0;0;4.75;467.8;4497.74;5459.35;0;0;4.72;469.15;8975.5;10471.47;Mur - Muro;;;4.72;Si;Si;Si;Si;Si;;Si;Si;Si;No
1058;C32_TSF;Túnel ST.FELIU;C32;EST-TUN;0;0;20081201;20081201;0;60+820;61+105;423.884.036;4.579.713.693;;LLOBREGAT-BESÒS;284.3;2827.18;4794.22;0;0;4.83;285.8;2834.6;4043.02;0;0;4.87;285.05;5661.78;8837.24;Pilars - Pilares sobre murete;;;4.83;Si;Si;Si;No;No;;No;No;No;No
1059;B20_TTH;Túnel THAU;B20;EST-TUN;0;0;20081201;20081201;0;5+207;5+450;425.318.047;4.582.205.976;;LLOBREGAT-BESÒS;234.6;2837;2704.54;0;0;5.87;236;2660.66;3142.02;0;0;5.35;253.3;5497.66;5365.2;;;;5.35;Si;Si;Si;Si;Si;;Si;Si;No;No
1060;B20_TVJ;Túnel VIA JÚLIA;B20;EST-TUN;0;0;20081201;20081201;0;14+544;14+865;431.360.189;4.588.568.952;;LLOBREGAT-BESÒS;322.9;4099.52;4123.29;0;0;5.55;318;3828.92;4044;0;0;5.32;320.45;7928.44;8167.29;Pilars - Pilares sobre murete;;;5.32;Si;Si;Si;Si;Si;;Si;Si;Si;No
1061;B10_TVO;Túnel VILA OLÍMPICA ;B10;EST-TUN;0;0;20081201;20081201;0;8+135;9+017;432782.32;4.582.106.441;;LLOBREGAT-BESÒS;810;7821;8764;0;0;4.8;817;7880.94;8958.46;0;0;4.82;813.5;7850.5;8861.23;Pilars - Pilares;;;4.81;Si;Si;Si;Si;Si;;Si;Si;No;No
