"Fecha;Hora;Texto_aviso_WinCC;Lugar_de_averia;Nombre_de_usuario"
"22/11/18;03:26:46 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;03:26:04 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;03:25:44 PM;Tunel Baró de Viver:    Fallo Comunicación;Baro Viver;"
"22/11/18;03:18:43 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN04 - conexión establecida (Usuario=operador);;"
"22/11/18;03:18:40 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN05 - conexión establecida (Usuario=operador);;"
"22/11/18;03:18:18 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;03:17:58 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;03:17:07 PM;WCCRT:RONDAS-PC:Runtime activado en RONDAS-PC;;"
"22/11/18;03:16:30 PM;WCCRT:RONDAS-PC:Runtime desactivado en RONDAS-PC;;"
"22/11/18;03:12:08 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;03:12:02 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;03:09:22 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;03:07:26 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;03:07:10 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;03:06:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;03:05:12 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;03:01:12 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:56:02 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:55:54 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:55:03 PM;WEBRT:RONDAS-PC:WebClient UTERONDESBCN05 - conexión establecida (Usuario=operador);;"
"22/11/18;02:55:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:52:00 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;02:49:31 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:49:18 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:49:01 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:48:46 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:44:12 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:43:10 PM;Tunel Pla de Palau:    Fallo Comunicación;Pla Palau;"
"22/11/18;02:42:58 PM;Tunel Autogeneracion:    Fallo Comunicación;Autogenera;"
"22/11/18;02:38:03 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:37:47 PM;Pozo 7:    Fallo Comunicación;Pozo 7;"
"22/11/18;02:37:01 PM;Tunel Autogeneracion:    Fallo Comunicación;Autogenera;"
"22/11/18;02:33:25 PM;Tunel Vila Olimpica 1:   Fallo Comunicación;VilaOlimp1;"
"22/11/18;02:33:15 PM;Tunel Forum:    Alarma Intrusion;Forum;"
"22/11/18;02:32:00 PM;Tunel Forum:    Alarma Intrusion;Forum;"
